latitude,longitude,price,open_days,RestaurantsTakeOut,RestaurantsDelivery,RestaurantsReservations,OutdoorSeating,BusinessAcceptsCreditCards,BikeParking,GoodForKids,HasTV,price_missing,RestaurantsTakeOut_missing,RestaurantsDelivery_missing,RestaurantsReservations_missing,OutdoorSeating_missing,BusinessAcceptsCreditCards_missing,BikeParking_missing,GoodForKids_missing,HasTV_missing,c_fast_food,c_pizza,c_coffee,c_bars,c_breakfast,c_sandwiches,p_rev_cnt,p_avg_rate,p_std_rate,p_use_mean,p_fun_mean,p_cool_mean,days_since_last,p_neg_share,p_pos_share,p_chkin_cnt,no_past_reviews,target
39.9239494074,-75.1674575204,2.0,6,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,4.009433962264151,1.1912001392662614,0.8113207547169812,0.3867924528301887,0.5188679245283019,1.0,0.14150943396226415,0.7547169811320755,96.0,0,1
39.9467659,-75.1611269,1.0,7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,261.0,3.0804597701149423,1.4588066050286899,0.9961685823754789,0.210727969348659,0.23371647509578544,223.0,0.40229885057471265,0.47126436781609193,513.0,0,0
39.9570641,-75.1825364,1.0,5,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,32.0,4.1875,1.1198358174592005,0.65625,0.125,0.21875,94.0,0.09375,0.75,77.0,0,0
39.9651094,-75.1389069,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,363.0,3.6584022038567494,1.3416838942311744,0.9173553719008265,0.25895316804407714,0.36639118457300274,0.0,0.22589531680440772,0.6391184573002755,750.0,0,0
39.9773871,-75.1350528,1.0,7,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,48.0,4.416666666666667,1.0070672257417181,0.875,0.25,0.4583333333333333,42.0,0.0625,0.875,71.0,0,0
39.9449215,-75.1799647,2.0,3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,4.405405405405405,0.9496779399140651,2.0,0.24324324324324326,1.2162162162162162,52.0,0.06756756756756757,0.8918918918918919,59.0,0,0
39.9544401037,-75.1542798802,2.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,4355.0,0.0,0.0,0.0,1,0
39.9516,-75.174548,4.0,7,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.0,4.035532994923858,1.1265607519048015,0.8020304568527918,0.22842639593908629,0.29949238578680204,1007.0,0.1065989847715736,0.7360406091370558,248.0,0,0
39.9661671579,-75.1910782957,2.0,0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,4355.0,0.0,0.0,0.0,1,0
40.052985,-75.1419413,2.0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2.7857142857142856,1.1883130530663677,1.6428571428571428,0.42857142857142855,0.5,1317.0,0.35714285714285715,0.35714285714285715,78.0,0,0
39.951669,-75.163983,2.0,5,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,4.4,0.6992058987801009,0.7,0.5,0.2,1867.0,0.0,0.9,38.0,0,0
39.948694,-75.1589575,1.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,4.596774193548387,0.6643048238536587,1.2580645161290323,0.3548387096774194,0.5806451612903226,47.0,0.016129032258064516,0.9354838709677419,114.0,0,0
39.9706939,-75.1486323,1.0,7,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,3.0,1.6666666666666667,1.1547005383792517,1.3333333333333333,0.0,0.3333333333333333,118.0,0.6666666666666666,0.0,3.0,0,0
39.9342645,-75.1588578,1.0,0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.0,3.630952380952381,1.2397022758085368,1.3571428571428572,0.42857142857142855,0.6428571428571429,1924.0,0.20238095238095238,0.6071428571428571,66.0,0,0
39.9506134672,-75.1636080327,3.0,7,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,542.0,4.088560885608856,1.1076519915405396,0.7158671586715867,0.3247232472324723,0.3726937269372694,12.0,0.1014760147601476,0.7527675276752768,869.0,0,1
40.0420208,-75.1803247,1.0,7,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8.0,2.875,2.03100960115899,0.0,0.375,0.375,32.0,0.5,0.5,0.0,0,0
40.0290643,-75.0562435,1.0,0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,12.0,3.8333333333333335,1.5275252316519465,0.8333333333333334,0.16666666666666666,0.25,238.0,0.16666666666666666,0.6666666666666666,15.0,0,0
39.940805,-75.179773,2.0,7,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,72.0,3.3333333333333335,1.2782029638916539,0.9305555555555556,0.20833333333333334,0.4305555555555556,1771.0,0.2916666666666667,0.5555555555555556,183.0,0,0
39.9609706195,-75.146908,2.0,7,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,563.0,4.182948490230906,1.0672713615869827,1.0373001776198933,0.325044404973357,0.6216696269982238,0.0,0.07992895204262877,0.8152753108348135,2318.0,0,1
40.1011904384,-75.028865528,1.0,6,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.0,4.608695652173913,0.8612130860243835,2.246376811594203,0.5507246376811594,0.9565217391304348,35.0,0.028985507246376812,0.8985507246376812,57.0,0,1
39.949912499999996,-75.1736448,3.0,7,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,102.0,4.137254901960785,1.2976690121424423,1.9019607843137254,0.7745098039215687,0.9313725490196079,43.0,0.13725490196078433,0.7941176470588235,309.0,0,1
